sides,radius_m,rotation_deg,scan_origin,route_length_m,measure_count,switch_count,estimated_base_time_s,analytic_max_distance_m,numerical_max_distance_m,coverage_ratio,worst_x,worst_y,achieved_margin_m,valid
7,900.0,15.0,True,5585.944382469627,160,152,2069.1888764939254,,1061.0073593355676,0.9916683041854981,-1740.0,-460.0,-75.14949495929841,False
7,900.0,22.5,False,5585.944382469628,140,133,1950.1888764939256,1063.4194224275584,1061.5968024212507,0.9914718019257222,1200.0,1340.0,-63.4194224275584,False
7,900.0,22.5,True,5585.944382469628,160,152,2069.188876493926,,1061.5968024212507,0.9914718019257222,1200.0,1340.0,-75.73893804498152,False
7,950.0,0.0,False,5896.274625940163,140,133,2012.2549251880325,1030.139054581335,1030.139054581335,0.9983493810178817,-1800.0,0.0,-30.139054581334904,False
7,950.0,0.0,True,5896.274625940163,160,152,2131.2549251880328,,1030.139054581335,0.9983493810178817,-1800.0,0.0,-44.28119020506574,False
7,950.0,7.5,False,5896.274625940162,140,133,2012.2549251880323,1030.139054581335,1024.3246312624424,0.9982314796620161,-1780.0,-240.0,-30.139054581334904,False
7,950.0,7.5,True,5896.274625940162,160,152,2131.2549251880323,,1024.3246312624424,0.9982314796620161,-1780.0,-240.0,-38.46676688617322,False
7,950.0,15.0,False,5896.274625940162,140,133,2012.2549251880323,1030.139054581335,1027.531986923588,0.9981528787581058,-1740.0,-460.0,-30.139054581334904,False
7,950.0,15.0,True,5896.274625940162,160,152,2131.2549251880323,,1027.531986923588,0.9981528787581058,-1740.0,-460.0,-41.6741225473188,False
7,950.0,22.5,False,5896.274625940163,140,133,2012.2549251880325,1030.139054581335,1028.271679602598,0.9982707801139713,1200.0,1340.0,-30.139054581334904,False
7,950.0,22.5,True,5896.274625940163,160,152,2131.2549251880328,,1028.271679602598,0.9982707801139713,1200.0,1340.0,-42.41381522632878,False
7,1000.0,0.0,False,6206.604869410698,140,133,2074.3209738821397,1000.0,999.9999999999999,1.0,0.0,0.0,0.0,True
7,1000.0,0.0,True,6206.604869410698,160,152,2193.3209738821397,,998.254514415683,1.0,-1800.0,0.0,-12.396650039413998,False
7,1000.0,7.5,False,6206.604869410697,140,133,2074.3209738821392,1000.0,999.9999999999999,1.0,0.0,0.0,0.0,True
7,1000.0,7.5,True,6206.604869410697,160,152,2193.3209738821392,,992.3077569144399,1.0,-1780.0,-240.0,-6.449892538170843,False
7,1000.0,15.0,False,6206.604869410698,140,133,2074.3209738821397,1000.0,1000.0,1.0,0.0,0.0,0.0,True
7,1000.0,15.0,True,6206.604869410698,160,152,2193.3209738821397,,995.4432940846195,1.0,-1740.0,-460.0,-9.585429708350489,False
7,1000.0,22.5,False,6206.604869410698,140,133,2074.3209738821397,1000.0,999.9999999999999,1.0,0.0,0.0,0.0,True
7,1000.0,22.5,True,6206.604869410698,160,152,2193.3209738821397,,996.342071396401,1.0,1200.0,1340.0,-10.484207020131976,False
8,750.0,0.0,False,4768.176039833443,160,152,1905.6352079666885,1143.6893206721509,1136.0017605620162,0.9099233641186874,680.0,-1660.0,-143.68932067215087,False
8,750.0,0.0,True,4768.176039833443,180,171,2024.6352079666885,,1136.0017605620162,0.9099233641186874,680.0,-1660.0,-150.14389618574705,False
8,750.0,7.5,False,4768.176039833443,160,152,1905.6352079666885,1143.6893206721509,1141.9684691120813,0.910237767734329,1740.0,-460.0,-143.68932067215087,False
8,750.0,7.5,True,4768.176039833443,180,171,2024.6352079666885,,1141.9684691120813,0.910237767734329,1740.0,-460.0,-156.1106047358121,False
8,750.0,15.0,False,4768.176039833443,160,152,1905.6352079666885,1143.6893206721509,1138.7771345392957,0.910237767734329,1080.0,-1440.0,-143.68932067215087,False
8,750.0,15.0,True,4768.176039833443,180,171,2024.6352079666885,,1138.7771345392957,0.910237767734329,1080.0,-1440.0,-152.91927016302657,False
8,750.0,22.5,False,4768.176039833443,160,152,1905.6352079666885,1143.6893206721509,1143.6893206721509,0.910237767734329,0.0,-1800.0,-143.68932067215087,False
8,750.0,22.5,True,4768.176039833443,180,171,2024.6352079666885,,1143.6893206721509,0.910237767734329,0.0,-1800.0,-157.8314562958817,False
8,800.0,0.0,False,5086.054442489005,160,152,1969.210888497801,1104.1861013287091,1096.3576058932597,0.9600707408135194,680.0,-1660.0,-104.18610132870913,False
8,800.0,0.0,True,5086.054442489005,180,171,2088.210888497801,,1096.3576058932597,0.9600707408135194,680.0,-1660.0,-110.49974151699053,False
8,800.0,7.5,False,5086.054442489005,160,152,1969.210888497801,1104.1861013287091,1102.3088421169768,0.959599135390057,1740.0,-460.0,-104.18610132870913,False
8,800.0,7.5,True,5086.054442489005,180,171,2088.210888497801,,1102.3088421169768,0.959599135390057,1740.0,-460.0,-116.45097774070769,False
8,800.0,15.0,False,5086.054442489005,160,152,1969.210888497801,1104.1861013287091,1098.8901901563772,0.9605423462369818,-240.0,-1780.0,-104.18610132870913,False
8,800.0,15.0,True,5086.054442489005,180,171,2088.210888497801,,1098.8901901563772,0.9605423462369818,-240.0,-1780.0,-113.03232578010807,False
8,800.0,22.5,False,5086.054442489005,160,152,1969.210888497801,1104.1861013287091,1104.1861013287091,0.9584987227353114,0.0,-1800.0,-104.18610132870913,False
8,800.0,22.5,True,5086.054442489005,180,171,2088.210888497801,,1104.1861013287091,0.9584987227353114,0.0,-1800.0,-118.32823695243997,False
8,850.0,0.0,False,5403.932845144568,160,152,2032.7865690289136,1065.5649349126795,1057.5916035975324,0.9867950481430536,680.0,-1660.0,-65.56493491267952,False
8,850.0,0.0,True,5403.932845144568,180,171,2151.7865690289136,,1057.5916035975324,0.9867950481430536,680.0,-1660.0,-71.73373922126325,False
8,850.0,7.5,False,5403.932845144568,160,152,2032.7865690289136,1065.5649349126795,1063.521312608426,0.9874238553743369,1740.0,-460.0,-65.56493491267952,False
8,850.0,7.5,True,5403.932845144568,180,171,2151.7865690289136,,1063.521312608426,0.9874238553743369,1740.0,-460.0,-77.66344823215672,False
8,850.0,15.0,False,5403.932845144568,160,152,2032.7865690289136,1065.5649349126795,1060.1448618694944,0.987266653566516,1780.0,-240.0,-65.56493491267952,False
8,850.0,15.0,True,5403.932845144568,180,171,2151.7865690289136,,1060.1448618694944,0.987266653566516,1780.0,-240.0,-74.28699749322527,False
8,850.0,22.5,False,5403.932845144568,160,152,2032.7865690289136,1065.5649349126795,1065.5649349126795,0.9874238553743369,0.0,-1800.0,-65.56493491267952,False
8,850.0,22.5,True,5403.932845144568,180,171,2151.7865690289136,,1065.5649349126795,0.9874238553743369,0.0,-1800.0,-79.70707053641036,False
8,900.0,0.0,False,5721.811247800131,160,152,2096.362249560026,1027.9252476048202,1019.8039027185571,0.9977991746905089,680.0,-1660.0,-27.925247604820242,False
8,900.0,0.0,True,5721.811247800131,180,171,2215.362249560026,,1019.8039027185571,0.9977991746905089,680.0,-1660.0,-33.94603834228792,False
8,900.0,7.5,False,5721.81124780013,160,152,2096.362249560026,1027.9252476048202,1025.7048217374374,0.9979563764983297,1740.0,-460.0,-27.925247604820242,False
8,900.0,7.5,True,5721.81124780013,180,171,2215.362249560026,,1025.7048217374374,0.9979563764983297,1740.0,-460.0,-39.84695736116828,False
8,900.0,15.0,False,5721.81124780013,160,152,2096.362249560026,1027.9252476048202,1022.3769394282419,0.9981135783061506,1780.0,-240.0,-27.925247604820242,False
8,900.0,15.0,True,5721.81124780013,180,171,2215.362249560026,,1022.3769394282419,0.9981135783061506,1780.0,-240.0,-36.51907505197278,False
8,900.0,22.5,False,5721.81124780013,160,152,2096.362249560026,1027.9252476048202,1027.9252476048205,0.9979563764983297,0.0,-1800.0,-27.925247604820242,False
8,900.0,22.5,True,5721.81124780013,180,171,2215.362249560026,,1027.9252476048205,0.9979563764983297,0.0,-1800.0,-42.06738322855131,False
8,950.0,0.0,False,6039.689650455694,160,152,2159.9379300911387,991.3788371815285,983.1073186585483,1.0,680.0,-1660.0,8.621162818471475,True
8,950.0,0.0,True,6039.689650455694,180,171,2278.9379300911387,,983.1073186585483,1.0,680.0,-1660.0,2.7505457177207973,True
8,950.0,7.5,False,6039.6896504556935,160,152,2159.9379300911387,991.3788371815285,988.9707681718949,1.0,1740.0,-460.0,8.621162818471475,True
8,950.0,7.5,True,6039.6896504556935,180,171,2278.9379300911387,,988.9707681718949,1.0,1740.0,-460.0,-3.1129037956258117,False
8,950.0,15.0,False,6039.6896504556935,160,152,2159.9379300911387,991.3788371815285,985.6987797501979,1.0,1780.0,-240.0,8.621162818471475,True
8,950.0,15.0,True,6039.6896504556935,180,171,2278.9379300911387,,985.6987797501979,1.0,1780.0,-240.0,0.1590846260711487,True
8,950.0,22.5,False,6039.6896504556935,160,152,2159.9379300911387,991.3788371815285,991.3788371815285,1.0,0.0,-1800.0,8.621162818471475,True
8,950.0,22.5,True,6039.6896504556935,180,171,2278.9379300911387,,991.3788371815285,1.0,0.0,-1800.0,-5.5209728052594755,False
8,1000.0,0.0,False,6357.568053111257,160,152,2223.5136106222512,1000.0,999.9999999999999,1.0,0.0,0.0,0.0,True
8,1000.0,0.0,True,6357.568053111257,180,171,2342.5136106222512,,947.6286192385708,1.0,680.0,-1660.0,38.229245137698285,True
8,1000.0,7.5,False,6357.568053111257,160,152,2223.5136106222512,1000.0,999.9999999999999,1.0,0.0,0.0,0.0,True
8,1000.0,7.5,True,6357.568053111257,180,171,2342.5136106222512,,953.444271712609,1.0,1740.0,-460.0,32.4135926636601,True
8,1000.0,15.0,False,6357.568053111257,160,152,2223.5136106222512,1000.0,999.9999999999999,1.0,0.0,0.0,0.0,True
8,1000.0,15.0,True,6357.568053111257,180,171,2342.5136106222512,,950.2365823979832,1.0,1780.0,-240.0,35.62128197828588,True
8,1000.0,22.5,False,6357.568053111256,160,152,2223.5136106222512,1000.0,999.9999999999999,1.0,0.0,0.0,0.0,True
8,1000.0,22.5,True,6357.568053111256,180,171,2342.5136106222512,,956.0510880488387,1.0,0.0,-1800.0,29.806776327430384,True
9,750.0,0.0,False,4854.241719908025,180,171,2041.848343981605,1124.8688474120204,1124.8688474120204,0.9174690508940853,-1800.0,0.0,-124.86884741202039,False
9,750.0,0.0,True,4854.241719908025,200,190,2160.848343981605,,1124.8688474120204,0.9174690508940853,-1800.0,0.0,-139.01098303575122,False
9,750.0,7.5,False,4854.241719908025,180,171,2041.848343981605,1124.8688474120204,1121.1030548953488,0.9175083513460405,-1520.0,960.0,-124.86884741202039,False
9,750.0,7.5,True,4854.241719908025,200,190,2160.848343981605,,1121.1030548953488,0.9175083513460405,-1520.0,960.0,-135.24519051907964,False
9,750.0,15.0,False,4854.241719908025,180,171,2041.848343981605,1124.8688474120204,1123.2850486303234,0.9167616427588917,-1740.0,-460.0,-124.86884741202039,False
9,750.0,15.0,True,4854.241719908025,200,190,2160.848343981605,,1123.2850486303234,0.9167616427588917,-1740.0,-460.0,-137.42718425405428,False
9,750.0,22.5,False,4854.241719908025,180,171,2041.848343981605,1124.8688474120204,1121.103054895349,0.9175083513460405,-960.0,1520.0,-124.86884741202039,False
9,750.0,22.5,True,4854.241719908025,200,190,2160.848343981605,,1121.103054895349,0.9175083513460405,-960.0,1520.0,-135.24519051907987,False
9,800.0,0.0,False,5177.857834568559,180,171,2106.5715669137116,1083.3675517277522,1083.367551727752,0.9683631361760661,-1800.0,0.0,-83.36755172775224,False
9,800.0,0.0,True,5177.857834568559,200,190,2225.5715669137116,,1083.367551727752,0.9683631361760661,-1800.0,0.0,-97.50968735148285,False
9,800.0,7.5,False,5177.857834568559,180,171,2106.5715669137116,1083.3675517277522,1079.4428487304901,0.967970131656514,-1520.0,960.0,-83.36755172775224,False
9,800.0,7.5,True,5177.857834568559,200,190,2225.5715669137116,,1079.4428487304901,0.967970131656514,-1520.0,960.0,-93.58498435422098,False
9,800.0,15.0,False,5177.857834568559,180,171,2106.5715669137116,1083.3675517277522,1081.6379187023986,0.9681273334643349,-1740.0,-460.0,-83.36755172775224,False
9,800.0,15.0,True,5177.857834568559,200,190,2225.5715669137116,,1081.6379187023986,0.9681273334643349,-1740.0,-460.0,-95.7800543261294,False
9,800.0,22.5,False,5177.857834568559,180,171,2106.5715669137116,1083.3675517277522,1079.4428487304901,0.967970131656514,-960.0,1520.0,-83.36755172775224,False
9,800.0,22.5,True,5177.857834568559,200,190,2225.5715669137116,,1079.4428487304901,0.967970131656514,-960.0,1520.0,-93.58498435422098,False
9,850.0,0.0,False,5501.473949229095,180,171,2171.2947898458187,1042.612382621231,1042.612382621231,0.9933582236195716,-1800.0,0.0,-42.61238262123106,False
9,850.0,0.0,True,5501.473949229095,200,190,2290.2947898458187,,1042.612382621231,0.9933582236195716,-1800.0,0.0,-56.7545182449619,False
9,850.0,7.5,False,5501.473949229095,180,171,2171.2947898458187,1042.612382621231,1038.5189779946768,0.993633326783258,-1520.0,960.0,-42.61238262123106,False
9,850.0,7.5,True,5501.473949229095,200,190,2290.2947898458187,,1038.5189779946768,0.993633326783258,-1520.0,960.0,-52.661113618407626,False
9,850.0,15.0,False,5501.473949229095,180,171,2171.2947898458187,1042.612382621231,1040.7266086121203,0.9935940263313028,-1740.0,-460.0,-42.61238262123106,False
9,850.0,15.0,True,5501.473949229095,200,190,2290.2947898458187,,1040.7266086121203,0.9935940263313028,-1740.0,-460.0,-54.86874423585118,False
9,850.0,22.5,False,5501.473949229094,180,171,2171.2947898458187,1042.612382621231,1038.518977994677,0.993633326783258,-960.0,1520.0,-42.61238262123106,False
9,850.0,22.5,True,5501.473949229094,200,190,2290.2947898458187,,1038.518977994677,0.993633326783258,-960.0,1520.0,-52.66111361840785,False
9,900.0,0.0,False,5825.090063889629,180,171,2236.018012777926,1002.694324634211,1002.6943246342111,0.9999606995480448,-1800.0,0.0,-2.6943246342109433,False
9,900.0,0.0,True,5825.090063889629,200,190,2355.018012777926,,1002.6943246342111,0.9999606995480448,-1800.0,0.0,-16.836460257942008,False
