source_x_m,source_y_m,source_posterior_weight,conditional_detection_probability,bearing_error_deg,second_bearing_deg,polygon_diameter_m,integration_weight
160.000000,160.000000,0.007277177626,1.000000000000,0.000000,356.633539337,125.637152124,0.002425725875
160.000000,160.000000,0.007277177626,1.000000000000,1.000000,357.633539337,132.285406903,0.002425725875
180.000000,160.000000,0.006784290522,1.000000000000,-1.000000,355.710757322,119.972701164,0.002261430174
180.000000,160.000000,0.006784290522,1.000000000000,0.000000,356.710757322,126.130910801,0.002261430174
180.000000,160.000000,0.006784290522,1.000000000000,1.000000,357.710757322,132.822553864,0.002261430174
200.000000,160.000000,0.006288914788,1.000000000000,-1.000000,355.784516008,120.409983702,0.002096304929
200.000000,160.000000,0.006288914788,1.000000000000,0.000000,356.784516008,126.605515261,0.002096304929
200.000000,160.000000,0.006288914788,1.000000000000,1.000000,357.784516008,133.338964300,0.002096304929
220.000000,160.000000,0.005791148674,1.000000000000,-1.000000,355.855042535,120.830547829,0.001930382891
220.000000,160.000000,0.005791148674,1.000000000000,0.000000,356.855042535,127.062055087,0.001930382891
220.000000,160.000000,0.005791148674,1.000000000000,1.000000,357.855042535,133.835811988,0.001930382891
180.000000,180.000000,0.006479007106,1.000000000000,-1.000000,357.025065989,128.173784803,0.002159669035
180.000000,180.000000,0.006479007106,1.000000000000,0.000000,358.025065989,135.046077336,0.002159669035
180.000000,180.000000,0.006479007106,1.000000000000,1.000000,359.025065989,142.539367275,0.002159669035
200.000000,180.000000,0.005987669775,1.000000000000,-1.000000,357.069412559,128.466364905,0.001995889925
200.000000,180.000000,0.005987669775,1.000000000000,0.000000,358.069412559,135.364679242,0.001995889925
200.000000,180.000000,0.005987669775,1.000000000000,1.000000,359.069412559,142.887250946,0.001995889925
220.000000,180.000000,0.005493855762,1.000000000000,-1.000000,357.111811993,128.747119051,0.001831285254
220.000000,180.000000,0.005493855762,1.000000000000,0.000000,358.111811993,135.670438455,0.001831285254
220.000000,180.000000,0.005493855762,1.000000000000,1.000000,359.111811993,143.221152283,0.001831285254
240.000000,180.000000,0.004997660526,1.000000000000,-1.000000,357.152389734,129.016749291,0.001665886842
240.000000,180.000000,0.004997660526,1.000000000000,0.000000,358.152389734,135.964115311,0.001665886842
240.000000,180.000000,0.004997660526,1.000000000000,1.000000,359.152389734,143.541896691,0.001665886842
260.000000,180.000000,0.004499175108,1.000000000000,-1.000000,357.191260678,129.275903242,0.001499725036
260.000000,180.000000,0.004499175108,1.000000000000,0.000000,358.191260678,136.246411353,0.001499725036
260.000000,180.000000,0.004499175108,1.000000000000,1.000000,359.191260678,143.850245939,0.001499725036
220.000000,200.000000,0.005190103929,1.000000000000,-1.000000,358.370401392,137.559819355,0.001730034643
220.000000,200.000000,0.005190103929,1.000000000000,0.000000,359.370401392,145.285313955,0.001730034643
220.000000,200.000000,0.005190103929,1.000000000000,1.000000,0.370401392,153.741112166,0.001730034643
240.000000,200.000000,0.004697799475,1.000000000000,-1.000000,358.383940092,137.659918275,0.001565933158
240.000000,200.000000,0.004697799475,1.000000000000,0.000000,359.383940092,145.394714963,0.001565933158
240.000000,200.000000,0.004697799475,1.000000000000,1.000000,0.383940092,153.861033858,0.001565933158
260.000000,200.000000,0.004203124081,1.000000000000,-1.000000,358.396908806,137.755914193,0.001401041360
260.000000,200.000000,0.004203124081,1.000000000000,0.000000,359.396908806,145.499635667,0.001401041360
260.000000,200.000000,0.004203124081,1.000000000000,1.000000,0.396908806,153.976049049,0.001401041360
280.000000,200.000000,0.003706166314,1.000000000000,-1.000000,358.409342785,137.848054288,0.001235388771
280.000000,200.000000,0.003706166314,1.000000000000,0.000000,359.409342785,145.600345740,0.001235388771
280.000000,200.000000,0.003706166314,1.000000000000,1.000000,0.409342785,154.086452788,0.001235388771
240.000000,220.000000,0.004391650905,1.000000000000,-1.000000,359.616059908,147.291397287,0.001463883635
240.000000,220.000000,0.004391650905,1.000000000000,0.000000,0.616059908,155.940899628,0.001463883635
240.000000,220.000000,0.004391650905,1.000000000000,1.000000,1.616059908,165.444458115,0.001463883635
260.000000,220.000000,0.003900806173,1.000000000000,-1.000000,359.603091194,147.184370830,0.001300268724
260.000000,220.000000,0.003900806173,1.000000000000,0.000000,0.603091194,155.823496920,0.001300268724
260.000000,220.000000,0.003900806173,1.000000000000,1.000000,1.603091194,165.315259775,0.001300268724
280.000000,220.000000,0.003407601769,1.000000000000,-1.000000,359.590657215,147.081875868,0.001135867256
